t,icao,tpos,lat,lon,alt,tv,gs,trk,roc,t50,tas,t60,ias,mach,hdg,vwx,vwy,temp
1522942599.144881,4841D5,1522942598.720342,52.04562,4.8909,11300.0,1522942599.144881,395.0,114.95,2752.0,1522942599.483715,366.0,1522942599.4837,316.0,0.584,114.961,10.94,-9.24,259.12
1522942599.144881,4841D5,1522942598.720342,52.04562,4.8909,11300.0,1522942599.144881,395.0,114.95,2752.0,1522942600.207208,368.0,1522942599.4837,316.0,0.584,114.961,10.91,-9.23,259.33
1522942601.0937881,4841D5,1522942598.720342,52.04562,4.8909,11300.0,1522942601.0937881,396.0,114.89,2880.0,1522942601.1334279,368.0,1522942601.459708,317.0,0.588,114.961,10.91,-9.24,259.22
1522942602.136364,4841D5,1522942601.863532,52.04317,4.89888,11450.0,1522942602.136364,397.0,114.83,2880.0,1522942602.2783618,370.0,1522942602.3064358,318.0,0.588,114.961,10.95,-9.27,259.53
1522942603.177467,4841D5,1522942603.177467,52.042190000000005,4.90166,11500.0,1522942603.0271509,398.0,114.96,2816.0,1522942603.446907,370.0,1522942603.4469,317.0,0.588,114.785,10.97,-9.33,259.65
1522942604.257351,4841D5,1522942604.257351,52.04132,4.907,11550.0,1522942603.0271509,398.0,114.96,2816.0,1522942604.217313,370.0,1522942604.194567,317.0,0.588,114.785,10.98,-9.38,259.72
1522942606.049089,4841D5,1522942606.049089,52.03996,4.90995,11650.0,1522942605.1337152,399.0,114.9,2944.0,1522942606.6341288,370.0,1522942607.4119134,317.0,0.588,114.434,10.92,-9.56,259.78
1522942611.212868,4841D5,1522942610.660044,52.03633,4.9234,11900.0,1522942611.10129,402.0,114.66,3136.0,1522942606.6341288,370.0,1522942610.860916,318.0,0.5920000000000001,114.434,11.04,-9.76,259.54
1522942612.171141,4841D5,1522942611.751281,52.03549,4.92635,11950.0,1522942612.171141,402.0,114.66,3136.0,1522942612.200371,374.0,1522942610.860916,318.0,0.5920000000000001,114.434,11.06,-9.82,260.25
1522942613.1243482,4841D5,1522942612.748806,52.034729999999996,4.929119999999999,12000.0,1522942613.1243482,403.0,114.6,3136.0,1522942613.054539,374.0,1522942610.860916,318.0,0.5920000000000001,114.434,11.13,-9.82,260.98
1522942614.774026,4841D5,1522942614.774026,52.03313,4.93446,12125.0,1522942613.1243482,403.0,114.6,3136.0,1522942614.569755,372.0,1522942615.3501446,316.0,0.5920000000000001,114.08200000000001,11.19,-10.08,260.83
1522942616.3141189,4841D5,1522942616.3141189,52.031940000000006,4.94011,12200.0,1522942613.1243482,403.0,114.6,3136.0,1522942616.035756,372.0,1522942615.629927,316.0,0.5920000000000001,114.08200000000001,11.28,-10.26,260.67
1522942617.154988,4841D5,1522942616.3141189,52.031940000000006,4.94011,12200.0,1522942617.154988,405.0,114.48,3008.0,1522942617.022043,374.0,1522942618.289174,317.0,0.596,113.73,11.39,-10.65,260.77
1522942617.154988,4841D5,1522942616.3141189,52.031940000000006,4.94011,12200.0,1522942617.154988,405.0,114.48,3008.0,1522942617.022043,374.0,1522942616.853275,316.0,0.5920000000000001,113.906,11.32,-10.46,261.05
1522942618.918847,4841D5,1522942618.918847,52.029920000000004,4.94568,12300.0,1522942617.154988,405.0,114.48,3008.0,1522942617.022043,374.0,1522942618.530906,317.0,0.596,113.73,11.45,-10.85,260.54
1522942620.201698,4841D5,1522942620.201698,52.02892,4.9511,12375.0,1522942620.076134,408.0,114.43,2496.0,1522942617.022043,374.0,1522942620.390057,319.0,0.6,113.37899999999999,11.46,-10.91,260.52
1522942622.345709,4841D5,1522942622.345709,52.02722,4.95697,12450.0,1522942621.231376,409.0,114.37,2368.0,1522942617.022043,374.0,1522942621.685106,318.0,0.6,113.20299999999999,11.43,-10.97,260.49
1522942624.349473,4841D5,1522942624.349473,52.02567,4.9623099999999996,12550.0,1522942624.023823,411.0,114.39,2496.0,1522942624.202017,376.0,1522942624.201999,318.0,0.6,113.555,11.64,-11.26,260.12
1522942626.437581,4841D5,1522942626.437581,52.02402,4.96819,12625.0,1522942626.115262,413.0,114.15,2752.0,1522942625.703625,378.0,1522942625.519208,318.0,0.6,113.555,11.89,-11.44,260.41
1522942628.105681,4841D5,1522942626.437581,52.02402,4.96819,12625.0,1522942628.105681,414.0,114.22,2752.0,1522942625.703625,378.0,1522942628.2007241,319.0,0.604,113.73,12.1,-11.56,259.91
1522942630.429588,4841D5,1522942630.429588,52.02086,4.97955,12825.0,1522942630.15097,416.0,114.1,2688.0,1522942630.429534,382.0,1522942630.258613,320.0,0.608,113.555,12.33,-11.71,259.72
1522942631.243263,4841D5,1522942630.899286,52.02049,4.979480000000001,12825.0,1522942631.243263,416.0,114.1,2688.0,1522942630.429534,382.0,1522942631.207843,321.0,0.608,113.37899999999999,12.43,-11.85,259.77
1522942632.3901231,4841D5,1522942632.3901231,52.0193,4.985119999999999,12900.0,1522942632.2917109,418.0,113.99,2752.0,1522942630.429534,382.0,1522942632.1998699,322.0,0.612,113.37899999999999,12.66,-11.98,258.99
1522942633.3983722,4841D5,1522942632.3901231,52.0193,4.985119999999999,12900.0,1522942633.3983722,418.0,113.99,2880.0,1522942630.429534,382.0,1522942632.883787,322.0,0.612,113.20299999999999,12.82,-12.14,258.54
1522942634.4484699,4841D5,1522942632.3901231,52.0193,4.985119999999999,12900.0,1522942634.4484699,418.0,113.99,3008.0,1522942633.538988,384.0,1522942634.396942,322.0,0.612,113.027,12.8,-12.29,258.65
